,is_spam,sms
0,0,go point crazy available boris n great world la e buffet line get wat
1,0,ok war joke
2,1,free entry wily come win cup final st may text receive entry question txt rate apply
3,0,dun say early c already say
4,0,ah I think go live around though
5,1,freemen hey darle week word back like fun still ok xx st cog send rev
6,0,even brother like speak I treat I like aids patent
7,0,per request selle selle minnaminunginte nurungu vesta set callertune caller press copy friend callertune
8,1,winner value network customer select received prize reward claim call claim code valid hour
9,1,mobile month r entitle update late colour mobile camera free call mobile update co free
10,0,donna home soon I want talk stuff anymore tonight k give cry enough today
11,1,six chance win cash pound txt cash send cost day day stand apply reply
12,1,urgent win week free membership prize jackson txt word claim wwdbuknet lccltd pobox ldnwarw
13,0,give search right word thank breathe I promise I take help grant fulfil promise wonderful blessing time
14,0,I date sunday
15,1,xxmobilemovieclub use credit click link next txt message click httpwap xxmobilemovieclubcomnqjkgighjjgcbl
16,0,oh watch
17,0,eh remember spell name yes I v naughty make I v wet
18,0,fine thataos way feel thataos way get b
19,1,england v macedonia miss goalsteam news txt national team eg england trywale scotland txt poboxoxwwq
20,0,seriously spell name
21,0,sum go try month ha ha joke
22,0,I pay first war da stock come
23,0,aft I finish lunch I go sir smith finish lunch already
24,0,ff alright way I meet soon
25,0,force eat slice really hungry suck mark get worry know sick I turn penza
26,0,always convincing
27,0,catch bus try egg make tea eat moss leave dinner feel love
28,0,back amp pack car ill let know room
29,0,ah work I vaguely remember feel like
30,0,wait still clear sure I sarcastic x want live
31,0,yeah get v apologetic n fall action like spoil child get catch till go badly cheer
32,0,k tell I anything
33,0,fear faint homework quick cuba
34,1,thank subscription ringtone mobile charge apsmonth please confirm reply yes reply charge
35,0,ok I go home look tiding I mug I xuhui go learn nd may lesson
36,0,loops ill let know roommate
37,0,I see letter b car
38,0,anything decide
39,0,hello saturday go I test see decide anything try invite anything
40,0,pus go ahead want I want sure great weekend axilla
41,0,I forget tell I want I need I grave I love sweet arabian steed mm mummy
42,1,roger burns mug try call reply sum free nikita mobile free camcorder please call delivery tomorrow
43,0,see
44,0,great I hope like man well endow I leave inch
45,0,callsmessagesmisse call
46,0,get b immunisation siberia
47,0,fair enough anything go
48,0,yeah hopefully tyler I could maybe ask around bit
49,0,know stubborn I I even want go hospital I keep tell mark weak suck hospital weak success
50,0,thank I first time see I class
51,0,gram usually run like leave half eighth smart though get almost whole second gram left
52,0,k foi x ride early tomorrow morning crash place tonight
53,0,I never realize embarrassed accommodation I think like since I good I could always seem happy cave sorry I give sorry I offer sorry room embarrassing
54,1,sums ac sit new jersey devil detroit red wing play ice hockey correct incorrect end reply end sit
55,0,know pallida sherawat yesterday find lturlgt
56,1,congress year special cinema pass call c sherman v matrix stalwart etc free bxipwe pm miss
57,0,sorry ill call later meeting
58,0,tell reach
59,0,yesgauti shag odd series
60,0,donna pick burgher way home I even move pain kill I
61,0,ha ha ha good joke girl situation seeker
62,0,part check
63,0,sorry roommate take forever ok I come
64,0,ok war I double check da hair dresser already say cut v short say cut I look nice
65,1,value customer I pleased advise follow recent review mob award bonus prize call
66,0,today song dedicated day song dedicate I send valuable fund first reply I
67,1,urgent award complimentary trip eurodisinc trap country claim txt dis apsmorefrmmob shracomorsglsuplt
68,1,hear new divorce bare come ten stuff
69,0,I plane give month end
70,0,lucky man save money
71,0,finish class
72,0,hi babe home anna something xx
73,0,youhow perform
74,0,call I
75,0,I wait mahan call I free
76,0,cool I gentleman treat dignity respect
77,0,I like people much shy pa
78,0,operate leave
79,0,still look job much earn
80,0,sorry ill call later
81,0,k call I ah
82,0,ok I way home hi hi
83,0,place man
84,0,next stop
85,0,I call later network urgent sum I
86,0,real get I need ticket one jacket I already use multi
87,0,yes I start send request make pain come back back bed double coin factory I gutta cash nitric
88,0,really still tonight babe
89,0,la knoll download come wen free
90,0,yeah stand close youull catch something
91,0,sorry pain ok meet another night I spend late afternoon casualty mean I stuffmoro include time sheet sorry
92,0,smile pleasure smile pain smile trouble hour like rain smile sum hurt smile become someone still love see smile
93,1,please call customer service representative amp win guaranteed cash prize
94,0,plan buy later I check already lid get show e afternoon finish work already
95,1,free ringtone wait collect simply text password mix verify get usher briony
96,0,watch deluge moviewat
97,0,I see finish load loan pay
98,0,hi ok hold yes bit run forgot I hairdresser appointment four need get home n shower beforehand probe ham
99,0,please text I anymore I nothing else say
100,0,okay name price long legal wen I pick ave x xx
101,0,still look car buy go drive test yet
102,0,per request selle selle minnaminunginte nurungu vesta set callertune caller press copy friend callertune
103,0,right I mean I guess I give boston man change search location ny something change cut signing page still say boston
104,0,gumma life cava gumma love lot dear
105,0,thank lot wish birthday thank make birthday truly memorable
106,0,right ill hit I get cash
107,0,would address test consider computer minecraft server
108,0,I know grumpy old people mon like well lie I always one play joke
109,0,worry I guess busy
110,0,plural noun research
111,0,go dinner
112,0,ok cos I like try new thing I scar dun like may cos say loud
113,1,go try contact last weekend draw show win prize guarantee call claim code k valid pp
114,0,wa opening sentence formal anyway fine jug tt eat much n put weighthaha anything special happen
115,0,I enter cabin pa say happy day boss I feel special ask I lunch lunch invite I apartment go
116,1,winner specially select receive holiday flight speak live operator claim pain
117,0,good yes must speak friday eggpotato ratio gorilla need
118,0,mummy uncle inform I pay school directly pus buy food
119,1,private account statement show redeem bonus point claim call identify code expire
120,1,urgent mobile award bonus call prize final try contact call lanoline boxer pp
121,0,new address applespairsall salary
122,1,today vodka number end select receive award match please call quote claim code standard rate pp
123,0,I go today
124,0,ii predict wat time ill finish buy
125,0,good stuff
126,0,knowyetunde send money yet I send text bother send involve anything I impose anything first place I apologise
127,0,room
128,0,hey girl r hope r well I del r back long time c give I call sum time lucy
129,0,much cost
130,0,home
131,0,dear call tmorrowpls accommodate
132,0,first answer question
133,1,sunshine quit wily q win top sonya player know country algarve txt sptyrone
134,1,want get lay tonight want real dig location send direct mob join us large dig network take gravel era pmsgp
135,0,I man yijuehotmailcom
136,0,call meet
137,0,I check room activity
138,1,rev leg chat sac free hardware service text go get nothing must age verify network try
139,0,get c I lazy type I forget I left I see pouch like v nice
140,0,k text I way
141,0,sir wait mail
142,0,sat thought get tired little thing movable person cozsomtime little thing occupy big part heart god ni
143,0,I know pus open back
144,0,yes see dot
145,0,staff name take class
146,1,freeman reply text brandy sex female live local lui hear netcollex ltd p per mug reply stop end
147,0,ummawill call check incur life begin later pus pray hard
148,0,I delete contact
149,0,hindu get job girl soft
150,0,wine flow I sever
151,0,I line well cos need go place may
152,0,ok typical reply
153,0,per request selle selle minnaminunginte nurungu vesta set callertune caller press copy friend callertune
154,0,everywhere dirt floor window even shirt sometimes I open mouth come flow I dream world without half shore time joy I lot show ill see I guess like thing must exist like rain hail mist time I become one
155,0,aaooright work
156,0,leave house
157,0,hello love get interview today happy good boy think mere miss I
158,1,customer service announcement new year delivery wait please call arrange delivery
159,1,winner specially select receive cash holiday flight speak live operator claim
160,0,keep safe I I need I miss already I envy everyone see real life
161,0,new car house parent new job hand
162,0,love excited day I spend make I happy
163,1,pus stop bootydelious f invite friend reply yes see wwsmsacubootydelious stop send stop find
164,1,bangbabe order way receive service mug download content get bang mobile internetservice menu
165,0,I place point e culture module already
166,1,urgent try contact last weekend draw show win prize guarantee call claim code valid
167,0,hi find good way avoid missunderstde wit beloved one
168,0,great escape I fancy bridge need later see
169,0,yes completely formclark also utter waste
170,0,sir I need axis bank account bank address
171,0,mm sure get time hop go free mud call discuss liar
172,0,time come later
173,0,bloody hell believe forget surname mr ill give clue spanish begin
174,0,well donna finish bath goodwin night
175,0,let I know get money carlo make call
176,0,still go mall
177,0,turn friend stay whole show back til leave feel free go ahead smoke leave worth
178,0,text reply let I know I log
179,0,hi speak maneesha v like know satisfied experience reply toll free yes
180,0,lift hope offer money I need especially end month approach hurt study anyway gr weekend
181,0,trust I
182,0,ok I gentleman treat dignity respect
183,0,gun close
184,0,go nothing greatly
185,0,hello handsome find job lazy work towards get back net mummy boston miss I
186,0,hata awesome minute
187,1,please call customer service representative freephone amp win guaranteed cash prize
188,0,get radio time I get
189,0,I reach home I go bathe first use net tell finish k
190,1,unique enough find th august wwareyouuniquecouk
191,0,sorry give join league people keep touch mean great deal I friend time even great personal cost great week
192,0,hi finally I complete course
193,0,stop I however suggest stay someone able give every stool
194,0,hope settle new school year within gr day
195,0,god man dear nice day
196,0,get person story
197,0,master dead hey mr I meet pm orchard meet
198,0,hi kate evening I hope I see tomorrow bit I bloody babyjontet txt back xx
199,0,find end leave
200,0,I send leave buck
201,0,hello darling give finished college txt I finish love kate xx
202,0,account fill successfully ltdecimalgt keralacircle repay account balance ltdecimalgt transaction leave
203,0,goodmorning sleep ga
204,0,call I alter ok
205,0,ii say like dat I dun buy ericsson order war
206,0,I enter cabin pa say happy day boss I feel special ask I lunch lunch invite I apartment go
207,0,right day straight dog
208,0,please give connection today ltdecimalgt refund bill
209,0,I shoot big load get ready
210,0,hope great break rewarding smelter
211,0,home always chat
212,0,kkgoodstudy well
213,0,I let
214,0,sound great home
215,0,finally match head towards draw prediction
216,0,tired I sleep well past night
217,0,easy ashen get select mean good
218,0,I take exam march
219,0,yeah I think use register sure anyway I help let I know sure ready
220,0,ok probe take time
221,0,os call band run without instal hard diskyou use os copy important file system give repair shop
222,0,sorry ill call later
223,0,say let course nothing happen war say v romantic bit I e note scenery nice let
224,1,new mobile must go txt nikita collect todayfrom wwtcbiz stout gbpmtmsg
225,0,would really appreciate call I need someone talk
226,1,meet dream partner soon career fly start find free txt hero follow star sign e g hero army
227,0,hey company blame po mudyadhu
228,0,life strict teacher boy teacher reach lesson amp conduct exam life first conduct exam amp reach lesson happy morning
229,0,dear good morning I
230,0,get gandhipuram walk cross cut road right side leave street road turn first right
231,0,dear go rubber place
232,0,sorry battery die yeah
233,0,yeshere always available work place
234,1,text meet someone sex today find date even flirt join p reply name age eg sam mug recdthirtyeight pence
235,0,I print oh leave come upstairs
236,0,ill little close like bus stop street
237,0,youwhen reach
238,0,new theory argument win situation lose person argue friend kick amp say always correct
239,1,secret admirer look make contact find reveal think specialcall
240,0,tomorrow final hearing lawton case I
241,0,pleassee tell I v event sport
242,0,okay shin mean sign sound well
243,0,although I tell dat big face watch I really like e watch give cos fr everything dat use today touch
244,0,remember old commercial
245,0,late I say I webster I I slipper
246,0,I ask call ok
247,0,wall bat nd win
248,0,work oh ok goodnight ill fix ready time wake dearly miss good night sleep
249,1,congratulation award voucher gift guarantee free entry wily draw txt music wwldewcomwinppmxage
250,0,ranjith cal dre deer deep min hold
251,0,wen movable sum angry wid dint take seriously co angry childish n true way show deep affection care n lui kettoda mania nice day da
252,0,doinghow
253,0,day also ship company take way us take week get law may bribe post get stuff
254,0,back femme know ready
255,0,necessarily expect get back though head
256,0,mm mummy babe nice jolt
257,0,lover I need
258,1,try contact reply offer video hand daytime network mind unlimited text camcorder reply call
259,0,sum mark next mind come today think
260,0,anyway go shop cos yet dun disturb liar
261,0,luzon ring I around h
262,1,hey I really horny want chat see I naked text hot text charge pm subscribe text stop
263,0,dint come
264,0,want plan trip sometime
265,0,sure yet still try get hold
266,1,ringtone service change free credit go clubmobilescom choose content stop txt club stop pwh club po box
267,0,eve I download flash jealous
268,1,ringtone club get single chart mobile week choose top quality ringtone message free charge
269,0,come sort narcotic situation
270,0,night end another day morning come special way may smile like sunny ray leave worry blue blue bay
271,1,hm bonus special pound genuine hm voucher win answer easy question play send hm infowwpercentrealcom
272,0,I guess might well take car
273,0,objection come
274,0,tell rob mack theater
275,0,awesome ill see bit
276,0,send type food like
277,0,hand celebration full swing yet
278,0,get call tool
279,0,wen miss someone
280,0,ok I ask money far
281,0,one
